dataset,model,surrogate,seed,best_test_acc,final_test_acc,seconds,epochs,batch_size,budget_steps,train_subset,test_subset,train_loss,train_acc,test_loss,test_acc,train_total_spikes,train_mean_spikes_per_neuron_per_timestep,test_total_spikes,test_mean_spikes_per_neuron_per_timestep
cifar10,simple_cnn,adali,42,0.7028,0.702,4937.443496704102,200,256,15800,20000,5000,0.722974658203125,0.75075,0.852348181438446,0.702,584461448.0,0.03402298910505533,145587961.0,0.13223190398443313
cifar10,simple_cnn,adali,43,0.703,0.6794,4867.303023099899,200,256,15800,20000,5000,0.725519850063324,0.74755,0.8923146036148071,0.6794,598916035.0,0.034864427420109215,149135980.0,0.13545443216959635
cifar10,simple_cnn,adali,44,0.7052,0.6974,5399.334325790405,200,256,15800,20000,5000,0.7195982278823853,0.7501,0.8749901104927063,0.6974,604562200.0,0.03519310506161611,145819388.0,0.13244210016159785
cifar10,simple_cnn,sigmoid,42,0.6222,0.6202,4779.557097911835,200,256,15800,20000,5000,1.0045314033508301,0.6435,1.0692266757965088,0.6202,1329562234.0,0.07739720311180391,327159908.0,0.29714666820707775
cifar10,simple_cnn,sigmoid,43,0.612,0.5972,4716.7850778102875,200,256,15800,20000,5000,1.0419634897232055,0.6307,1.1190254371643067,0.5972,1290381093.0,0.07511636912706753,326840329.0,0.2968564069838751
cifar10,simple_cnn,sigmoid,44,0.6236,0.6144,5226.421640634537,200,256,15800,20000,5000,1.0181157835006713,0.6427,1.086716704940796,0.6144,1257138262.0,0.07318121928817825,308722779.0,0.280400938306536
cifar10,small_resnet,adali,42,0.6144,0.6016,9111.714509248734,200,256,15800,20000,5000,0.5565588966369629,0.8027,1.3115832088470458,0.6016,4177500695.0,0.012276062513375444,1060142839.0,0.048607259484437795
cifar10,small_resnet,adali,43,0.6744,0.655,9362.97351694107,200,256,15800,20000,5000,0.5709979496955871,0.79935,1.0972471660614014,0.655,4225699854.0,0.012417701242408886,1060323278.0,0.048615532563282896
cifar10,small_resnet,adali,44,0.645,0.6328,9080.164377212524,200,256,15800,20000,5000,0.5873063508987427,0.79245,1.1041710876464843,0.6328,4278783916.0,0.012573694816355112,1080866991.0,0.04955745619076949
cifar10,small_resnet,sigmoid,42,0.4754,0.4388,8834.181507110596,200,256,15800,20000,5000,1.2226681953430176,0.5609,1.5426036552429199,0.4388,5100075734.0,0.014987154546370014,1205583927.0,0.0552756936275042
cifar10,small_resnet,sigmoid,43,0.4828,0.4828,8644.576967477798,200,256,15800,20000,5000,1.3332603313446045,0.5212,1.4452873733520508,0.4828,4600290032.0,0.013518477227324535,1137887467.0,0.05217182943454156
cifar10,small_resnet,sigmoid,44,0.4862,0.4862,8660.314676046371,200,256,15800,20000,5000,1.32642364692688,0.52455,1.4235249742507934,0.4862,5081988643.0,0.014934003565433767,1281907584.0,0.05877511244553786
cifar100,simple_cnn,adali,42,0.37,0.3682,8133.697373390198,300,256,23700,20000,5000,2.0812156589508057,0.4488,2.497922872543335,0.3682,809573289.0,0.047127322573020776,212001496.0,0.19255274454752605
cifar100,simple_cnn,adali,43,0.3768,0.365,8914.657694101334,300,256,23700,20000,5000,2.063726203918457,0.4531,2.4847310668945313,0.365,815459072.0,0.04746994898844813,213620603.0,0.19402331670125325
cifar100,simple_cnn,adali,44,0.375,0.367,9254.413544178009,300,256,23700,20000,5000,2.0696086822509767,0.45365,2.511466683959961,0.367,858335506.0,0.049965895388056715,222406837.0,0.20200351260957264
cifar100,simple_cnn,sigmoid,42,0.3178,0.3128,10258.47143292427,300,256,23700,20000,5000,2.4679897903442383,0.36495,2.7263259662628174,0.3128,1540911248.0,0.08970036737574727,387949849.0,0.3523598162333171
cifar100,simple_cnn,sigmoid,43,0.326,0.3082,8501.576968431473,300,256,23700,20000,5000,2.4830525665283205,0.36225,2.7707268779754637,0.3082,1579516515.0,0.09194767826859293,400694442.0,0.36393523624965124
cifar100,simple_cnn,sigmoid,44,0.3042,0.2886,8132.733308553696,300,256,23700,20000,5000,2.525180721664429,0.3523,2.9241225803375244,0.2886,1692039774.0,0.09849794369349453,429696904.0,0.3902770487467448
cifar100,small_resnet,adali,42,0.3352,0.3202,13401.987047433853,300,256,23700,20000,5000,0.948568180847168,0.72005,3.0877176567077638,0.3202,5922578760.0,0.01740417354931155,1492851883.0,0.06844685091422155
cifar100,small_resnet,adali,43,0.3358,0.3358,14821.864564418793,300,256,23700,20000,5000,1.0018661827087403,0.70635,2.970541393661499,0.3358,5849069240.0,0.017188157436153675,1510512156.0,0.06925656960560725
cifar100,small_resnet,adali,44,0.3204,0.2764,14789.093329668045,300,256,23700,20000,5000,0.9739928779602051,0.709,3.401383214569092,0.2764,6014497692.0,0.017674287820446267,1514002694.0,0.06941660981911879
