dataset,model,surrogate,n_seeds,best_test_acc_mean,best_test_acc_std,final_test_acc_mean,final_test_acc_std,seconds_mean,test_mean_spikes_per_neuron_per_timestep,test_total_spikes
cifar10,simple_cnn,adali,3,0.7036666666666666,0.0013316656236959238,0.6929333333333334,0.01194375708616569,5068.026948531468,0.13337614543854245,146847776.33333334
cifar10,simple_cnn,sigmoid,3,0.6192666666666667,0.006331929669013519,0.6105999999999999,0.011961605243444565,4907.587938785553,0.29146800449916294,320907672.0
cifar100,simple_cnn,adali,3,0.3739333333333333,0.0035232560697930288,0.36673333333333336,0.00161658075373098,8767.58953722318,0.1961931912861173,216009645.33333334
cifar100,simple_cnn,sigmoid,3,0.316,0.01101090368680063,0.30319999999999997,0.012851459061133873,8964.260569969812,0.3688573670765711,406113731.6666667
mnist,simple_cnn,adali,3,0.9807333333333332,0.0021939310229205844,0.9670666666666667,0.0048221710186734075,945.5649278958639,0.0952863891324759,80322309.66666667
mnist,simple_cnn,sigmoid,3,0.9209333333333333,0.03832562241286285,0.7587999999999999,0.18032004880212288,901.8783282438914,0.1769386197094165,149151612.66666666
nmnist,simple_cnn,adali,3,0.9291999999999999,0.010645186705737043,0.8766666666666666,0.0226718621496632,1013.2880423863729,0.10721219787086474,131083637.0
nmnist,simple_cnn,sigmoid,3,0.8769333333333335,0.006429100507328648,0.8633333333333333,0.02349241012185288,937.3576094309489,0.14551687228460009,177917077.0
nmnist,small_resnet,adali,3,0.9206,0.01839891301137102,0.7537333333333334,0.24276345139524882,10296.813708146414,0.019981348166226594,499426028.6666667
nmnist,small_resnet,sigmoid,3,0.8108666666666666,0.058243740722358585,0.7404000000000001,0.12779170552113314,8401.59258723259,0.024085394041523104,602005059.6666666
